"sku";"gu_vpe";"ean";"STATUS"
"64022";"1.00";"8005240900426";"1"
"64023";"1.00";"8004009008526";"1"
"64024";"1.00";"8002095100001";"1"
"64025";"1.00";"8000513000087";"1"
"64026";"1.00";"8000060100247";"1"
"64027";"1.00";"8002230000302";"1"
"64028";"1.00";"4015118001777";"1"
"64028";"1.00";"8010449010012";"0"
"64029";"1.00";"8005130000847";"1"
"64030";"1.00";"8002092010334";"1"
"64031";"1.00";"8002092013892";"1"
"64032";"1.00";"80104193";"1"
"64033";"1.00";"80543176";"1"
"64034";"1.00";"80664024";"1"
"64035";"1.00";"80543008";"1"
"64036";"1.00";"8007116421318";"1"
"64037";"1.00";"8005130001257";"1"
"64038";"1.00";"8002600007573";"1"
"64039";"1.00";"8391135640394";"1"
"64040";"1.00";"8003788001018";"1"
"64041";"1.00";"8391135640417";"1"
"64042";"1.00";"8002092011393";"1"
"64043";"1.00";"8002092010440";"1"
"64044";"1.00";"8002092011461";"1"
"64045";"1.00";"8002092011041";"1"
"64046";"1.00";"8002092011027";"1"
"64047";"1.00";"8002092012048";"1"
"64048";"1.00";"8391135640486";"1"
"64049";"1.00";"8002092013953";"1"
"64050";"1.00";"80631750";"1"
"64051";"1.00";"5010677220088";"1"
"64052";"1.00";"8002230340675";"1"
"64053";"1.00";"8032942292122";"1"
"64054";"1.00";"8032942293129";"1"
"64055";"1.00";"8032942290104";"1"
"64056";"1.00";"8032942291101";"1"
"64057";"1.00";"8032942292108";"1"
"64058";"1.00";"8032942293105";"1"
"64059";"1.00";"8032942294102";"1"
"64060";"1.00";"8032942295109";"1"
"64061";"1.00";"8032942297103";"1"
"64062";"1.00";"8391135640622";"1"
"64064";"1.00";"8008440000033";"1"
"64065";"1.00";"8001435225312";"1"
"64066";"1.00";"8008440000002";"1"
"64067";"1.00";"8004613010267";"1"
"64068";"1.00";"80067986";"1"
"64069";"1.00";"80114024";"0"
"64069";"1.00";"8391135640691";"1"
"64070";"1.00";"80067955";"1"
"64071";"1.00";"8391135640714";"1"
"64072";"1.00";"8391135640721";"1"
"64073";"1.00";"8010449020011";"1"
"64074";"1.00";"8391135640745";"1"
"64075";"1.00";"80067900";"1"
"64076";"1.00";"8006890151190";"1"
"64077";"1.00";"8001435500013";"1"
"64078";"1.00";"8006890626162";"1"
"64079";"1.00";"80067931";"1"
"64080";"1.00";"8006890111187";"1"
"64081";"1.00";"8034013025011";"1"
"64082";"1.00";"8006890323085";"1"
"64083";"1.00";"8006890328578";"1"
"64084";"1.00";"8006890326031";"1"
"64085";"1.00";"8001435350250";"1"
"64086";"1.00";"8008440515001";"1"
"64087";"1.00";"8006890151169";"1"
"64088";"1.00";"8391135640882";"1"
"64089";"1.00";"8391135640899";"1"
"64090";"1.00";"8391135640905";"1"
"64091";"1.00";"8391135640912";"1"
"64092";"1.00";"8006890628579";"1"
"64093";"1.00";"8033874029329";"1"
"64093";"1.00";"8033874027011";"0"
"64094";"1.00";"8032779730217";"1"
"64095";"1.00";"8032779730705";"1"
"64096";"1.00";"8032779730781";"1"
"64097";"1.00";"8032779730613";"1"
"64098";"1.00";"8032779730576";"1"
"64099";"1.00";"8032779730255";"1"
"64100";"1.00";"8391135641001";"1"
"64101";"1.00";"8032779730415";"1"
"64102";"1.00";"8032779730767";"1"
"64103";"1.00";"8032779730262";"1"
"64104";"1.00";"8032779730811";"1"
"64105";"1.00";"8032779730873";"1"
"64106";"1.00";"8032779730750";"1"
"64107";"1.00";"8032779730231";"1"
"64108";"1.00";"8032779730729";"1"
"64109";"1.00";"8032779731122";"1"
"64110";"1.00";"8032779731047";"1"
"64111";"1.00";"8032779730736";"1"
"64112";"1.00";"8032779730309";"1"
"64113";"1.00";"8032779730200";"1"
"64114";"1.00";"8032779730293";"1"
"64115";"1.00";"8032779730521";"1"
"64116";"1.00";"8032779730606";"1"
"64117";"1.00";"8032779730248";"1"
"64118";"1.00";"8032779730194";"1"
"64119";"1.00";"8032779730477";"1"
"64120";"1.00";"8032779730958";"1"
"64121";"1.00";"8032779730996";"1"
"64122";"1.00";"8391135641223";"1"
"64123";"1.00";"8391135641230";"1"
"64124";"1.00";"8391135641247";"1"
"64125";"1.00";"8391135641254";"1"
"64126";"1.00";"8004499050609";"1"
"64127";"1.00";"8004499800501";"1"
"64128";"1.00";"8004499050869";"1"
"64129";"1.00";"8004499050852";"1"
"64130";"1.00";"8391135641308";"1"
"64131";"1.00";"8391135641315";"1"
"64132";"1.00";"8004499500647";"1"
"64133";"1.00";"8004499050616";"1"
"64134";"1.00";"8004499503532";"1"
"64135";"1.00";"8004499050029";"1"
"64136";"1.00";"8004499500593";"1"
"64137";"1.00";"8391135641377";"1"
"64138";"1.00";"8391135641384";"1"
"64139";"1.00";"8004499750011";"1"
"64140";"1.00";"8004499092708";"1"
"64141";"1.00";"8391135641414";"1"
"64142";"1.00";"8004499917506";"1"
"64143";"1.00";"8004499921503";"1"
"64144";"1.00";"8004499928502";"1"
"64145";"1.00";"8004499970075";"1"
"64146";"1.00";"8391135641469";"1"
"64147";"1.00";"8032841701305";"1"
"64148";"1.00";"8032841701343";"1"
"64149";"1.00";"8391135641490";"1"
"64150";"1.00";"8033324230138";"1"
"64151";"1.00";"8391135641513";"1"
"64152";"1.00";"8391135641520";"1"
"64153";"1.00";"8004009009462";"1"
"64154";"1.00";"8016044660300";"1"
"64155";"1.00";"8016044660508";"1"
"64156";"1.00";"8000353001336";"1"
"64157";"1.00";"8391135641575";"1"
"64158";"1.00";"8391135641582";"1"
"64159";"1.00";"8006890768305";"1"
"64160";"1.00";"8002092014165";"1"
"64161";"1.00";"8391135641612";"1"
"64161";"1.00";"8002092014806";"0"
"64162";"1.00";"8002092013458";"1"
"64163";"1.00";"8391135641636";"1"
"64164";"1.00";"8391135641643";"1"
"64165";"1.00";"8004613010007";"1"
"64166";"1.00";"8027269166997";"1"
"64167";"1.00";"64167";"1"
"64168";"1.00";"64168";"0"
"64168";"1.00";"8391135641681";"1"
"64169";"1.00";"64169";"0"
"64169";"1.00";"8391135641698";"1"
"64170";"1.00";"64170";"0"
"64170";"1.00";"8391135641704";"1"
"64171";"1.00";"8010449080015";"1"
"64172";"1.00";"8010449070016";"1"
"64173";"1.00";"64173";"1"
"64174";"1.00";"8008440219008";"1"
"64175";"1.00";"8032853500149";"1"
"64176";"1.00";"64176";"0"
"64176";"1.00";"8391135641766";"1"
"64177";"1.00";"64177";"0"
"64177";"1.00";"8391135641773";"1"
"64178";"1.00";"64178";"0"
"64178";"1.00";"8391135641780";"1"
"64179";"1.00";"64179";"0"
"64179";"1.00";"8391135641797";"1"
"64180";"1.00";"64180";"0"
"64180";"1.00";"8391135641803";"1"
"64181";"1.00";"64181";"0"
"64181";"1.00";"8391135641810";"1"
"64182";"1.00";"8032625361886";"1"
"64183";"1.00";"8032625361909";"1"
"64184";"1.00";"64184";"0"
"64184";"1.00";"8391135641841";"1"
"64185";"1.00";"64185";"0"
"64185";"1.00";"8391135641858";"1"
"64186";"1.00";"64186";"0"
"64186";"1.00";"8391135641865";"1"
"64187";"1.00";"64187";"0"
"64187";"1.00";"8391135641872";"1"
"64188";"1.00";"64188";"0"
"64188";"1.00";"8391135641889";"1"
"64189";"1.00";"64189";"0"
"64189";"1.00";"8391135641896";"1"
"64190";"1.00";"64190";"1"
"64192";"1.00";"8391135641926";"1"
"64193";"1.00";"64193";"1"
"64194";"1.00";"8391135641940";"1"
"64195";"1.00";"8002092010341";"1"
"64196";"1.00";"8391135641964";"1"
"64197";"1.00";"8002092010358";"1"
"64198";"1.00";"8002092016145";"1"
"64199";"1.00";"8391135641995";"1"
"64200";"1.00";"8391135642008";"1"
"64201";"1.00";"64201";"0"
"64201";"1.00";"8391135642015";"1"
"64202";"1.00";"8005325102585";"1"
"65001";"1.00";"4260264820103";"1"
"65002";"1.00";"8391135650027";"1"
"65003";"1.00";"4260264820110";"1"
"65004";"1.00";"8391135650041";"1"
"65005";"1.00";"8001620002353";"1"
"65006";"1.00";"8001620002360";"1"
"65007";"1.00";"8391135650072";"1"
"65008";"1.00";"8391135650089";"1"
"65009";"1.00";"8391135650096";"1"
"65010";"1.00";"8000845999974";"1"
"65011";"1.00";"8012386620422";"1"
"65012";"1.00";"80145455";"1"
"65013";"1.00";"8001780150239";"1"
"65014";"1.00";"8001780150932";"1"
"65015";"1.00";"8001780152035";"1"
"65016";"1.00";"8032841700100";"1"
"65017";"1.00";"8391135650171";"1"
"65018";"1.00";"8032841704016";"1"
"65019";"1.00";"8032841703040";"1"
"65020";"1.00";"8032841700155";"1"
"65021";"1.00";"8032986070144";"1"
"65022";"1.00";"8391135650225";"1"
"65023";"1.00";"8391135650232";"1"
"65024";"1.00";"8033501260019";"1"
"65025";"1.00";"8033501260026";"1"
"65026";"1.00";"8391135650263";"1"
"65027";"1.00";"8032986070120";"1"
"65028";"1.00";"8391135650287";"1"
"65029";"1.00";"8391135650294";"1"
"65030";"1.00";"8391135650300";"1"
"65031";"1.00";"8002270027932";"1"
"65032";"1.00";"8002270027925";"1"
"65033";"1.00";"8002270027949";"1"
"65034";"1.00";"8000845000014";"1"
"65035";"1.00";"8000845005149";"1"
"65036";"1.00";"8008720003136";"1"
"65037";"1.00";"8002270033902";"1"
"65038";"1.00";"8000040040808";"1"
"65039";"1.00";"8391135650393";"1"
"65040";"1.00";"8391135650409";"1"
"65041";"1.00";"8391135650416";"1"
"65042";"1.00";"8391135650423";"1"
"65043";"1.00";"8391135650430";"1"
"65044";"1.00";"8391135650447";"1"
"65045";"1.00";"8391135650454";"1"
"65046";"1.00";"8391135650461";"1"
"65047";"1.00";"8391135650478";"1"
"65048";"1.00";"8032986070113";"1"
"65049";"1.00";"8391135650492";"1"
"65050";"1.00";"8391135650508";"1"
"65051";"1.00";"8391135650515";"1"
"65052";"1.00";"8391135650522";"1"
"65053";"1.00";"8391135650539";"1"
"65054";"1.00";"8019712500120";"1"
"65055";"1.00";"8019712500144";"1"
"65056";"1.00";"8019712500113";"1"
"65057";"1.00";"8019712500076";"1"
"65058";"1.00";"8391135650584";"1"
"65059";"1.00";"8391135650591";"1"
"65060";"1.00";"8391135650607";"1"
"65061";"1.00";"8008310008534";"1"
"65062";"1.00";"8008310040800";"1"
"65063";"1.00";"8391135650638";"1"
